ESPN Pre-Draft Queue — paste/search order (top 110 by VBD rank)
Pick slot: 5th overall, 10-team snake. [SLEEPER] = model likes them well above where ADP has them.

  1. Puka Nacua (WR, LA)
  2. Jahmyr Gibbs (RB, DET)
  3. Christian McCaffrey (RB, SF)
  4. Ja'Marr Chase (WR, CIN)
  5. Bijan Robinson (RB, ATL)
  6. Amon-Ra St. Brown (WR, DET)
  7. Jonathan Taylor (RB, IND)
  8. De'Von Achane (RB, MIA)
  9. Trey McBride (TE, ARI) [SLEEPER]
 10. Josh Allen (QB, BUF) [SLEEPER]
 11. CeeDee Lamb (WR, DAL)
 12. Derrick Henry (RB, BAL)
 13. Kyren Williams (RB, LA) [SLEEPER]
 14. Saquon Barkley (RB, PHI)
 15. James Cook (RB, BUF)
 16. Jaxon Smith-Njigba (WR, SEA)
 17. George Kittle (TE, SF) [SLEEPER]
 18. Brock Bowers (TE, LV) [SLEEPER]
 19. Josh Jacobs (RB, GB) [SLEEPER]
 20. Nico Collins (WR, HOU)
 21. Joe Mixon (RB, HOU)
 22. Davante Adams (WR, LA) [SLEEPER]
 23. Rashee Rice (WR, KC)
 24. A.J. Brown (WR, PHI)
 25. Justin Jefferson (WR, MIN)
 26. Drake London (WR, ATL)
 27. Jalen Hurts (QB, PHI) [SLEEPER]
 28. Lamar Jackson (QB, BAL) [SLEEPER]
 29. Tyreek Hill (WR, MIA)
 30. Breece Hall (RB, NYJ)
 31. Tee Higgins (WR, CIN)
 32. George Pickens (WR, DAL)
 33. Travis Kelce (TE, KC) [SLEEPER]
 34. Malik Nabers (WR, NYG)
 35. Sam LaPorta (TE, DET) [SLEEPER]
 36. Chase Brown (RB, CIN)
 37. Chris Olave (WR, NO)
 38. Garrett Wilson (WR, NYJ)
 39. Alvin Kamara (RB, NO) [SLEEPER]
 40. Stefon Diggs (WR, NE) [SLEEPER]
 41. D'Andre Swift (RB, CHI)
 42. Bucky Irving (RB, TB)
 43. Zay Flowers (WR, BAL)
 44. Travis Etienne (RB, JAX)
 45. Mike Evans (WR, TB)
 46. Brock Purdy (QB, SF) [SLEEPER]
 47. Patrick Mahomes (QB, KC) [SLEEPER]
 48. Courtland Sutton (WR, DEN)
 49. Tucker Kraft (TE, GB) [SLEEPER]
 50. DeVonta Smith (WR, PHI)
 51. Keenan Allen (WR, LAC) [SLEEPER]
 52. Kenneth Walker III (RB, SEA)
 53. Dallas Goedert (TE, PHI) [SLEEPER]
 54. Ashton Jeanty (RB, LV)
 55. James Conner (RB, ARI) [SLEEPER]
 56. Javonte Williams (RB, DAL)
 57. DK Metcalf (WR, PIT)
 58. Jared Goff (QB, DET) [SLEEPER]
 59. Terry McLaurin (WR, WAS)
 60. David Montgomery (RB, DET)
 61. DJ Moore (WR, CHI)
 62. Harold Fannin Jr. (TE, CLE)
 63. Rhamondre Stevenson (RB, NE)
 64. David Njoku (TE, CLE)
 65. Chris Godwin Jr. (WR, TB) [SLEEPER]
 66. Baker Mayfield (QB, TB) [SLEEPER]
 67. Kyle Pitts (TE, ATL) [SLEEPER]
 68. Joe Burrow (QB, CIN)
 69. Matthew Stafford (QB, LA)
 70. Drake Maye (QB, NE)
 71. Ladd McConkey (WR, LAC)
 72. Bo Nix (QB, DEN) [SLEEPER]
 73. Jake Ferguson (TE, DAL) [SLEEPER]
 74. Tony Pollard (RB, TEN)
 75. Cam Skattebo (RB, NYG)
 76. Trevor Lawrence (QB, JAX) [SLEEPER]
 77. Deebo Samuel Sr. (WR, WAS) [SLEEPER]
 78. Justin Herbert (QB, LAC) [SLEEPER]
 79. Michael Pittman (WR, IND)
 80. Dak Prescott (QB, DAL)
 81. Tyler Warren (TE, IND)
 82. Mark Andrews (TE, BAL) [SLEEPER]
 83. Hunter Henry (TE, NE) [SLEEPER]
 84. Omarion Hampton (RB, LAC)
 85. Jakobi Meyers (WR, JAX)
 86. J.K. Dobbins (RB, DEN)
 87. Jameson Williams (WR, DET)
 88. Brian Thomas Jr. (WR, JAX)
 89. Aaron Jones (RB, MIN) [SLEEPER]
 90. Jaylen Warren (RB, PIT)
 91. Tank Dell (WR, HOU) [SLEEPER]
 92. Wan'Dale Robinson (WR, NYG)
 93. Jayden Daniels (QB, WAS)
 94. Jaylen Waddle (WR, MIA)
 95. Rachaad White (RB, TB) [SLEEPER]
 96. Jordan Addison (WR, MIN)
 97. Caleb Williams (QB, CHI)
 98. Dalton Kincaid (TE, BUF) [SLEEPER]
 99. Dalton Schultz (TE, HOU) [SLEEPER]
100. Juwan Johnson (TE, NO) [SLEEPER]
101. Rico Dowdle (RB, CAR)
102. Chuba Hubbard (RB, CAR)
103. T.J. Hockenson (TE, MIN) [SLEEPER]
104. Zach Ertz (TE, WAS)
105. Colston Loveland (TE, CHI)
106. Tetairoa McMillan (WR, CAR)
107. Darren Waller (TE, MIA)
108. RJ Harvey (RB, DEN)
109. Quentin Johnston (WR, LAC)
110. TreVeyon Henderson (RB, NE)

Note: K/DST intentionally left off — stream those late/by matchup, not worth queuing individually.
This is a safety net only. Our live workflow (you screenshot, I read the CSV) is still the primary plan for your actual picks.
