tier,vbd_rank,adp_rank,value_gap,sleeper_flag,overvalued,valuation_basis,name,position,team,shrunk_ppg,active,injury_status
,,127.0,,False,False,"ADP-only, no stat history",MarShawn Lloyd,RB,GB,,True,
,,,,False,False,"ADP-only, no stat history",Jeff Driskel,QB,CLE,,True,
,,,,False,False,"ADP-only, no stat history",Shane Buechele,QB,KC,,True,
,,,,False,False,"ADP-only, no stat history",Case Keenum,QB,HOU,,True,
,,,,False,False,"ADP-only, no stat history",Skylar Thompson,QB,MIA,,True,IR
,,,,False,False,"ADP-only, no stat history",Adrian Martinez,QB,SF,,True,
,,,,False,False,"ADP-only, no stat history",Matt Barkley,QB,JAX,,True,
,,,,False,False,"ADP-only, no stat history",Logan Woodside,QB,ATL,,True,
,,,,False,False,"ADP-only, no stat history",Nathan Peterman,QB,CHI,,True,
,,,,False,False,"ADP-only, no stat history",Blaine Gabbert,QB,KC,,True,
,,,,False,False,"ADP-only, no stat history",Brian Hoyer,QB,LV,,True,
,,,,False,False,"ADP-only, no stat history",Sean Clifford,QB,GB,,True,
,,,,False,False,"ADP-only, no stat history",AJ McCarron,QB,CIN,,True,
,,,,False,False,"ADP-only, no stat history",Kedon Slovis,QB,ARI,,True,
,,,,False,False,"ADP-only, no stat history",Phil Mafah,RB,DAL,,True,
,,,,False,False,"ADP-only, no stat history",La'Mical Perine,RB,KC,,True,
,,,,False,False,"ADP-only, no stat history",Kristian Wilkerson,WR,LV,,True,
,,,,False,False,"ADP-only, no stat history",D.J. Montgomery,WR,IND,,True,IR
,,,,False,False,"ADP-only, no stat history",Jacob Kibodi,RB,CLE,,True,
,,,,False,False,"ADP-only, no stat history",Brittain Brown,RB,CHI,,True,IR
,,,,False,False,"ADP-only, no stat history",Elijah Dotson,RB,LAC,,True,
,,,,False,False,"ADP-only, no stat history",Blake Watson,RB,DEN,,True,
,,,,False,False,"ADP-only, no stat history",Jake Funk,RB,IND,,True,
,,,,False,False,"ADP-only, no stat history",Deon Jackson,RB,IND,,True,
,,,,False,False,"ADP-only, no stat history",Keelan Doss,WR,LAC,,True,
,,,,False,False,"ADP-only, no stat history",Jared Wayne,WR,HOU,,True,
,,,,False,False,"ADP-only, no stat history",Devine Ozigbo,RB,DET,,True,
,,,,False,False,"ADP-only, no stat history",Jacardia Wright,RB,SEA,,True,
,,,,False,False,"ADP-only, no stat history",Jacoby Jones,WR,WAS,,True,IR
,,,,False,False,"ADP-only, no stat history",Jakobie Keeney-James,WR,GB,,True,
,,,,False,False,"ADP-only, no stat history",Cody Schrader,RB,LA,,True,
,,,,False,False,"ADP-only, no stat history",Anthony Miller,WR,BAL,,True,
,,,,False,False,"ADP-only, no stat history",Xavier Restrepo,WR,TEN,,True,
,,,,False,False,"ADP-only, no stat history",James Robinson,RB,GB,,True,
,,,,False,False,"ADP-only, no stat history",Amar Johnson,RB,LAC,,True,
,,,,False,False,"ADP-only, no stat history",Tahj Washington,WR,MIA,,True,
,,,,False,False,"ADP-only, no stat history",Kenyan Drake,RB,BAL,,True,
,,,,False,False,"ADP-only, no stat history",Quentin Skinner,WR,NYJ,,True,
,,,,False,False,"ADP-only, no stat history",Kendric Pryor,WR,CIN,,True,
,,,,False,False,"ADP-only, no stat history",Kendall Milton,RB,CIN,,True,
,,,,False,False,"ADP-only, no stat history",John Ross,WR,PHI,,True,
,,,,False,False,"ADP-only, no stat history",Dante Miller,RB,NYG,,True,Questionable
,,,,False,False,"ADP-only, no stat history",D.J. Williams,RB,TB,,True,Questionable
,,,,False,False,"ADP-only, no stat history",John Kelly,RB,BAL,,True,
,,,,False,False,"ADP-only, no stat history",Mohamed Ibrahim,RB,DET,,True,
,,,,False,False,"ADP-only, no stat history",Keilan Robinson,RB,JAX,,True,Questionable
,,,,False,False,"ADP-only, no stat history",Lew Nichols III,RB,PIT,,True,
,,,,False,False,"ADP-only, no stat history",Ulysses Bentley IV,RB,IND,,True,
,,,,False,False,"ADP-only, no stat history",Jermar Jefferson,RB,DET,,True,IR
,,,,False,False,"ADP-only, no stat history",Jonathan Williams,RB,WAS,,True,
,,,,False,False,"ADP-only, no stat history",Leonard Fournette,RB,BUF,,True,
,,,,False,False,"ADP-only, no stat history",Kwamie Lassiter II,WR,CIN,,True,
,,,,False,False,"ADP-only, no stat history",Albert Okwuegbunam,TE,LV,,True,
,,,,False,False,"ADP-only, no stat history",Jase McClellan,RB,ATL,,True,
