player_name,position,team,blended_ppg,shrunk_ppg,total_games
Josh Allen,QB,BUF,23.306698529411765,21.736596832318835,49
Jalen Hurts,QB,PHI,20.413554411764707,19.135837214834545,48
Lamar Jackson,QB,BAL,20.419059954751134,19.0915645337483,46
Puka Nacua,WR,LA,20.927560160427806,18.998992404875114,44
Jahmyr Gibbs,RB,DET,20.54407843137255,18.860579531303006,49
Christian McCaffrey,RB,SF,20.92919117647059,18.722141967763307,37
Ja'Marr Chase,WR,CIN,20.258264705882354,18.57803534133032,49
Bijan Robinson,RB,ATL,19.986470588235296,18.4207373874458,51
Brock Purdy,QB,SF,19.16775555555556,17.830322175186563,40
Patrick Mahomes,QB,KC,18.944375,17.787035535314608,46
Amon-Ra St. Brown,WR,DET,19.305602941176474,17.757448575781357,50
Jonathan Taylor,RB,IND,19.07031092436975,17.288399552841916,41
De'Von Achane,RB,MIA,18.883489304812834,17.2309112099235,44
Jared Goff,QB,DET,18.169882352941176,17.19558943572561,51
Baker Mayfield,QB,TB,17.794823529411765,16.860010488357187,51
Joe Burrow,QB,CIN,18.142597058823533,16.792085241345934,35
Matthew Stafford,QB,LA,17.768139705882355,16.784357476272454,48
Drake Maye,QB,NE,18.35381221719457,16.78052678756102,30
Bo Nix,QB,DEN,18.057352941176468,16.68586494590899,34
Trevor Lawrence,QB,JAX,17.731867647058824,16.652140952242632,43
Justin Herbert,QB,LAC,17.631138009049774,16.625325889474023,46
Dak Prescott,QB,DAL,17.64791176470588,16.556185249041803,42
Jayden Daniels,QB,WAS,18.098760504201678,16.261828331239997,24
CeeDee Lamb,WR,DAL,17.76198190045249,16.243650170692046,45
Caleb Williams,QB,CHI,17.41926470588235,16.14348994590899,34
Derrick Henry,RB,BAL,17.270705882352942,15.99084265060369,51
Kyren Williams,RB,LA,17.35947303921569,15.918594467629733,45
Saquon Barkley,RB,PHI,17.06339285714286,15.684386586788113,46
Jaxon Smith-Njigba,WR,SEA,16.871176470588235,15.606438126051444,51
Kyler Murray,QB,ARI,16.93829411764706,15.60092837127143,30
James Cook,RB,BUF,16.850036764705884,15.592390523566154,50
Jordan Love,QB,GB,16.172376470588233,15.350684753849182,47
Jaxson Dart,QB,NYG,17.39857142857143,14.85322989181798,14
Josh Jacobs,RB,GB,16.131825037707394,14.835375642769472,45
Nico Collins,WR,HOU,16.250333333333334,14.826061941352757,42
Davante Adams,WR,LA,16.05760416054534,14.739787459009264,45
Rashee Rice,WR,KC,16.805,14.696381564262712,28
Joe Mixon,RB,HOU,16.542436974789915,14.688853440618859,31
Trey McBride,TE,ARI,15.997720588235296,14.678797993741982,50
A.J. Brown,WR,PHI,15.802835595776774,14.514991666566413,45
C.J. Stroud,QB,HOU,15.238359103641457,14.508636857766666,46
Justin Jefferson,WR,MIN,15.61305882352941,14.322231228404528,44
Drake London,WR,ATL,15.522544117647058,14.267675656451958,45
Justin Fields,QB,NYJ,15.001841025641026,14.040618701496642,32
Daniel Jones,QB,IND,15.007410256410257,13.962842722064487,29
Tyreek Hill,WR,MIA,15.268088235294117,13.815261346298014,37
Derek Carr,QB,NO,14.654470588235293,13.610766779354927,27
Tee Higgins,WR,CIN,14.8825,13.545654959665162,39
Breece Hall,RB,NYJ,14.525367647058822,13.498455378005321,49
George Pickens,WR,DAL,14.548655462184874,13.471711766107521,48
Tua Tagovailoa,QB,MIA,13.989820473644002,13.35535536936266,42
George Kittle,TE,SF,14.612909090909092,13.247267501166002,42
Malik Nabers,WR,NYG,15.711875000000001,13.106503927397293,19
Geno Smith,QB,LV,13.547584313725489,13.023038878895427,47
Chris Olave,WR,NO,14.1925,12.974716808368093,40
Garrett Wilson,WR,NYJ,14.143025210084033,12.957468229752717,41
Brock Bowers,TE,LV,14.867769607843137,12.951199339006777,29
Chase Brown,RB,CIN,13.925857843137255,12.888934000501703,45
Stefon Diggs,WR,NE,13.978470588235295,12.838182039391972,42
Bryce Young,QB,CAR,13.320714285714287,12.812258749600323,46
Alvin Kamara,RB,NO,13.9363986013986,12.733072225853572,38
Sam Darnold,QB,SEA,13.242776470588236,12.72333525084484,44
Zay Flowers,WR,BAL,13.584411764705884,12.649242168218331,50
D'Andre Swift,RB,CHI,13.535,12.61612783789837,49
Mike Evans,WR,TB,13.774957983193278,12.585785211766003,39
Bucky Irving,RB,TB,14.216544117647057,12.561173401844878,27
Tyler Shough,QB,NO,14.541818181818183,12.555564578609388,11
Travis Etienne,RB,JAX,13.38694117647059,12.484220886026714,49
Courtland Sutton,WR,DEN,13.398566176470588,12.466667560581657,49
Kirk Cousins,QB,ATL,13.0845,12.426015732535777,32
DeVonta Smith,WR,PHI,13.406832579185519,12.42021676591281,46
Keenan Allen,WR,LAC,13.382452488687782,12.379359513252599,45
Kenneth Walker III,RB,SEA,13.244602495543672,12.248774252914046,43
Ashton Jeanty,RB,LV,14.535294117647059,12.077044829756971,17
James Conner,RB,ARI,13.371250000000002,12.067158712747643,32
DK Metcalf,WR,PIT,12.9615,12.02626871509485,46
Russell Wilson,QB,NYG,12.589030303030302,12.008778092982348,32
Javonte Williams,RB,DAL,12.784558823529412,11.94755297158821,49
Joe Flacco,QB,CIN,12.637537566137567,11.91687216096125,25
Terry McLaurin,WR,WAS,12.861764705882353,11.901092404875117,44
DJ Moore,WR,CHI,12.66,11.83854338920934,51
Jacoby Brissett,QB,ARI,12.562,11.807261994357228,23
David Montgomery,RB,DET,12.663411764705883,11.77501099012108,45
Easton Stick,QB,LAC,15.112,11.731327076032692,5
Chris Godwin Jr.,WR,TB,12.843361344537815,11.614561475761029,33
