name,position,team,total_points,rank
SEA DST,DST,SEA,154.0,1
DEN DST,DST,DEN,141.0,2
HOU DST,DST,HOU,126.0,3
JAX DST,DST,JAX,126.0,3
CLE DST,DST,CLE,123.0,5
PHI DST,DST,PHI,123.0,5
LA DST,DST,LA,116.0,7
ATL DST,DST,ATL,107.0,8
NE DST,DST,NE,106.0,9
MIN DST,DST,MIN,105.0,10
LAC DST,DST,LAC,102.0,11
CAR DST,DST,CAR,95.0,12
PIT DST,DST,PIT,95.0,12
BUF DST,DST,BUF,94.0,14
CHI DST,DST,CHI,94.0,14
NO DST,DST,NO,86.0,16
DET DST,DST,DET,83.0,17
KC DST,DST,KC,82.0,18
TB DST,DST,TB,82.0,18
IND DST,DST,IND,81.0,20
WAS DST,DST,WAS,78.0,21
BAL DST,DST,BAL,72.0,22
MIA DST,DST,MIA,70.0,23
GB DST,DST,GB,67.0,24
TEN DST,DST,TEN,66.0,25
LV DST,DST,LV,59.0,26
NYG DST,DST,NYG,57.0,27
SF DST,DST,SF,56.0,28
CIN DST,DST,CIN,55.0,29
DAL DST,DST,DAL,47.0,30
ARI DST,DST,ARI,42.0,31
NYJ DST,DST,NYJ,38.0,32
HOU K,K,HOU,207.0,1
SEA K,K,SEA,196.0,2
DAL K,K,DAL,181.0,3
LAC K,K,LAC,167.0,4
IND K,K,IND,163.0,5
JAX K,K,JAX,160.0,6
SF K,K,SF,160.0,6
CHI K,K,CHI,158.0,8
MIN K,K,MIN,157.0,9
TB K,K,TB,153.0,10
ATL K,K,ATL,149.0,11
DET K,K,DET,147.0,12
PIT K,K,PIT,147.0,12
NE K,K,NE,145.0,14
KC K,K,KC,144.0,15
BAL K,K,BAL,140.0,16
LA K,K,LA,136.0,17
TEN K,K,TEN,134.0,18
CIN K,K,CIN,133.0,19
DEN K,K,DEN,131.0,20
GB K,K,GB,130.0,21
MIA K,K,MIA,130.0,21
NYJ K,K,NYJ,126.0,23
NO K,K,NO,125.0,24
ARI K,K,ARI,123.0,25
WAS K,K,WAS,114.0,26
BUF K,K,BUF,112.0,27
CLE K,K,CLE,109.0,28
PHI K,K,PHI,109.0,28
CAR K,K,CAR,107.0,30
NYG K,K,NYG,107.0,30
LV K,K,LV,99.0,32
