player_name,position,team,blended_ppg,shrunk_ppg,total_games
Jeff Driskel,QB,CLE,13.94,9.632085405194228,1
Shane Buechele,QB,KC,3.92,8.200656833765658,1
Case Keenum,QB,HOU,4.87,7.903074729544951,2
Skylar Thompson,QB,MIA,3.940000000000001,7.670574729544951,2
Adrian Martinez,QB,SF,-0.1,7.626371119479943,1
Matt Barkley,QB,JAX,-0.3,7.597799690908515,1
Logan Woodside,QB,ATL,-0.3199999999999998,7.594942548051372,1
Nathan Peterman,QB,CHI,-0.4000000000000001,7.5835139766228,1
Blaine Gabbert,QB,KC,2.9500000000000006,7.42307472954495,2
Brian Hoyer,QB,LV,2.47,7.30307472954495,2
Sean Clifford,QB,GB,0.64,6.845574729544951,2
AJ McCarron,QB,CIN,0.38,6.78057472954495,2
Kedon Slovis,QB,ARI,-0.04,6.675574729544951,2
Phil Mafah,RB,DAL,10.9,5.938861583487198,1
La'Mical Perine,RB,KC,7.000000000000002,5.584003885551299,2
Kristian Wilkerson,WR,LV,9.8,5.562424740704612,1
D.J. Montgomery,WR,IND,7.300000000000001,5.467121648116535,2
Jacob Kibodi,RB,CLE,4.9,5.0817187263443415,1
Brittain Brown,RB,CHI,4.85,5.046503885551299,2
Elijah Dotson,RB,LAC,3.9,4.938861583487198,1
Blake Watson,RB,DEN,3.3,4.853147297772913,1
Jake Funk,RB,IND,3.2000000000000006,4.838861583487199,1
Deon Jackson,RB,IND,4.000000000000001,4.834003885551299,2
Keelan Doss,WR,LAC,4.65,4.804621648116535,2
MarShawn Lloyd,RB,GB,2.8,4.781718726344342,1
Jared Wayne,WR,HOU,4.0,4.733853312133182,1
Devine Ozigbo,RB,DET,2.3,4.71029015491577,1
Jacardia Wright,RB,SEA,2.0,4.667433012058627,1
Jacoby Jones,WR,WAS,3.5,4.662424740704611,1
Jakobie Keeney-James,WR,GB,3.5,4.662424740704611,1
Cody Schrader,RB,LA,1.9000000000000004,4.653147297772913,1
Nate Carter,RB,ATL,3.0000000000000004,4.584003885551299,2
Anthony Miller,WR,BAL,2.6,4.533853312133182,1
Xavier Restrepo,WR,TEN,3.55,4.529621648116534,2
James Robinson,RB,GB,1.0,4.524575869201485,1
Amar Johnson,RB,LAC,0.8,4.496004440630055,1
Tahj Washington,WR,MIA,3.35,4.479621648116535,2
Kenyan Drake,RB,BAL,2.55,4.471503885551299,2
Quentin Skinner,WR,NYJ,2.0,4.448139026418897,1
Kendric Pryor,WR,CIN,1.9,4.433853312133183,1
Kendall Milton,RB,CIN,0.2,4.41029015491577,1
John Ross,WR,PHI,1.6,4.39099616927604,1
Dante Miller,RB,NYG,0.0,4.381718726344341,1
D.J. Williams,RB,TB,0.0,4.381718726344341,1
John Kelly,RB,BAL,0.0,4.381718726344341,1
Mohamed Ibrahim,RB,DET,0.0,4.381718726344341,1
Keilan Robinson,RB,JAX,0.0,4.381718726344341,1
Lew Nichols III,RB,PIT,0.0,4.381718726344341,1
Ulysses Bentley IV,RB,IND,0.0,4.381718726344341,1
Jermar Jefferson,RB,DET,2.1,4.359003885551299,2
Jonathan Williams,RB,WAS,-0.2,4.353147297772913,1
Leonard Fournette,RB,BUF,2.0,4.334003885551299,2
Kwamie Lassiter II,WR,CIN,1.2,4.333853312133183,1
Mike Strachan,WR,CAR,2.75,4.329621648116534,2
Albert Okwuegbunam,TE,LV,6.142857142857143,4.301546565437558,2
Jase McClellan,RB,ATL,1.6,4.234003885551299,2
Jordan Watkins,WR,SF,2.3000000000000003,4.217121648116534,2
Andy Isabella,WR,BUF,0.0,4.162424740704611,1
Amari Rodgers,WR,IND,0.0,4.162424740704611,1
Dalevon Campbell,WR,CAR,0.0,4.162424740704611,1
Jeshaun Jones,WR,MIN,0.0,4.162424740704611,1
Damiere Byrd,WR,ATL,0.0,4.162424740704611,1
Stanley Morgan,WR,CIN,0.0,4.162424740704611,1
Juwann Winfree,WR,IND,0.0,4.162424740704611,1
