vbd_rank,tier,player_name,position,team,shrunk_ppg,vbd
1,1,Puka Nacua,WR,LA,18.998992404875118,128.62948814224941
2,1,Jahmyr Gibbs,RB,DET,18.860579531303006,128.25564170295505
3,1,Christian McCaffrey,RB,SF,18.722141967763307,125.90220312278015
4,2,Ja'Marr Chase,WR,CIN,18.57803534133032,121.47321806198785
5,2,Bijan Robinson,RB,ATL,18.4207373874458,120.77832525738256
6,3,Amon-Ra St. Brown,WR,DET,17.757448575781357,107.52324304765547
7,4,Jonathan Taylor,RB,IND,17.288399552841916,101.52858206911652
8,4,De'Von Achane,RB,MIA,17.2309112099235,100.55128023950347
9,5,Trey McBride,TE,ARI,14.678797993741982,91.49948036372862
10,6,Josh Allen,QB,BUF,21.736596832318835,85.86244206896738
11,7,CeeDee Lamb,WR,DAL,16.243650170692046,81.78867016113719
12,7,Derrick Henry,RB,BAL,15.99084265060369,79.47011473106669
13,7,Kyren Williams,RB,LA,15.918594467629733,78.24189562050941
14,8,Saquon Barkley,RB,PHI,15.684386586788111,74.26036164620184
15,8,James Cook,RB,BUF,15.592390523566154,72.69642857142856
16,8,Jaxon Smith-Njigba,WR,SEA,15.606438126051444,70.95606540224695
17,8,George Kittle,TE,SF,13.247267501166002,67.16346198993695
18,9,Brock Bowers,TE,LV,12.951199339006775,62.1303032332301
19,9,Josh Jacobs,RB,GB,14.835375642769472,59.827175597884974
20,9,Nico Collins,WR,HOU,14.826061941352757,57.68967026236927
21,9,Joe Mixon,RB,HOU,14.68885344061886,57.33629816132457
22,9,Davante Adams,WR,LA,14.739787459009264,56.223004062529895
23,9,Rashee Rice,WR,KC,14.696381564262712,55.4851038518385
24,9,A.J. Brown,WR,PHI,14.514991666566411,52.40147559100139
25,9,Justin Jefferson,WR,MIN,14.322231228404528,49.124548142249374
26,9,Drake London,WR,ATL,14.267675656451958,48.19710341905569
27,10,Jalen Hurts,QB,PHI,19.135837214834545,41.64952857173446
28,10,Lamar Jackson,QB,BAL,19.0915645337483,40.896892993268295
29,10,Tyreek Hill,WR,MIA,13.815261346298014,40.50606014643864
30,10,Breece Hall,RB,NYJ,13.49845537800532,37.099531096894374
31,10,Tee Higgins,WR,CIN,13.545654959665162,35.922751573680166
32,10,George Pickens,WR,DAL,13.47171176610752,34.66571728320024
33,10,Travis Kelce,TE,KC,11.32244574078689,34.44149206349205
34,11,Malik Nabers,WR,NYG,13.106503927397291,28.45718402512636
35,11,Sam LaPorta,TE,DET,10.944236956751263,28.011942734886397
36,11,Chase Brown,RB,CIN,12.888934000501704,26.73766767933292
37,11,Chris Olave,WR,NO,12.974716808368091,26.216803001629962
38,11,Garrett Wilson,WR,NYJ,12.957468229752717,25.92357716516859
39,11,Alvin Kamara,RB,NO,12.733072225853572,24.08801751031467
40,11,Stefon Diggs,WR,NE,12.838182039391972,23.895711929035933
41,11,D'Andre Swift,RB,CHI,12.61612783789837,22.099962915076233
42,11,Bucky Irving,RB,TB,12.561173401844878,21.165737502166863
43,11,Zay Flowers,WR,BAL,12.649242168218333,20.68373411908406
44,11,Travis Etienne,RB,JAX,12.484220886026714,19.85754473325808
45,11,Mike Evans,WR,TB,12.585785211766003,19.60496585939446
46,11,Brock Purdy,QB,SF,17.830322175186563,19.455772897718756
47,11,Patrick Mahomes,QB,KC,17.787035535314608,18.719900019895526
48,11,Courtland Sutton,WR,DEN,12.466667560581657,17.57996578926057
49,11,Tucker Kraft,TE,GB,10.309471023398048,17.220921867881742
50,11,DeVonta Smith,WR,PHI,12.42021676591281,16.790302279890184
51,11,Keenan Allen,WR,LAC,12.3793595132526,16.095728984666614
52,11,Kenneth Walker III,RB,SEA,12.248774252914046,15.85495197034273
53,11,Dallas Goedert,TE,PHI,10.22016065925239,15.702645677405542
54,11,Ashton Jeanty,RB,LV,12.077044829756971,12.93555177667246
55,11,James Conner,RB,ARI,12.067158712747643,12.767487787513879
56,11,Javonte Williams,RB,DAL,11.94755297158821,10.734190187803527
57,11,DK Metcalf,WR,PIT,12.02626871509485,10.09318541598487
58,11,Jared Goff,QB,DET,17.19558943572561,8.665316326882532
59,11,Terry McLaurin,WR,WAS,11.901092404875117,7.96518814224939
60,11,David Montgomery,RB,DET,11.77501099012108,7.800976502862309
61,11,DJ Moore,WR,CHI,11.83854338920934,6.901854875931184
62,11,Harold Fannin Jr.,TE,CLE,9.569393556263009,4.63960492658607
63,11,Rhamondre Stevenson,RB,NE,11.536621735331934,3.748359171446827
64,11,David Njoku,TE,CLE,9.509428183090185,3.6201935826480582
65,11,Chris Godwin Jr.,WR,TB,11.614561475761027,3.094162347309867
66,11,Baker Mayfield,QB,TB,16.860010488357187,2.9604742216193607
67,11,Kyle Pitts,TE,ATL,9.452397512943618,2.6506721901564223
68,11,Joe Burrow,QB,CIN,16.792085241345934,1.8057450224280593
69,11,Matthew Stafford,QB,LA,16.784357476272454,1.6743730161789117
70,11,Drake Maye,QB,NE,16.78052678756102,1.609251308084513
71,11,Ladd McConkey,WR,LAC,11.43255192591927,0.0
72,11,Bo Nix,QB,DEN,16.68586494590899,0.0
73,11,Jake Ferguson,TE,DAL,9.296475619405005,0.0
74,11,Tony Pollard,RB,TEN,11.316130019364474,0.0
75,11,Cam Skattebo,RB,NYG,11.312287934600745,-0.06531544098339381
76,11,Trevor Lawrence,QB,JAX,16.652140952242632,-0.5733078923280601
77,11,Deebo Samuel Sr.,WR,WAS,11.390303971505109,-0.7182152250407476
78,11,Justin Herbert,QB,LAC,16.625325889474023,-1.0291639593944133
79,11,Michael Pittman,WR,IND,11.34795432528754,-1.4381592107394052
80,11,Dak Prescott,QB,DAL,16.556185249041803,-2.2045548467421554
81,11,Tyler Warren,TE,IND,9.157680792947223,-2.35951204978228
82,11,Mark Andrews,TE,BAL,9.148114341226313,-2.522141729037765
83,11,Hunter Henry,TE,NE,9.121006697750673,-2.9829716681236427
84,11,Omarion Hampton,RB,LAC,11.09146873896069,-3.8192417668643124
85,11,Jakobi Meyers,WR,JAX,11.1986934643059,-3.9755938474272803
86,11,J.K. Dobbins,RB,DEN,11.07132411307009,-4.161700407004512
87,11,Jameson Williams,WR,DET,11.186722208796686,-4.179105191083929
88,11,Brian Thomas Jr.,WR,JAX,11.153968841473295,-4.735912435581573
89,11,Aaron Jones,RB,MIN,11.003887058759757,-5.308130330280189
90,11,Jaylen Warren,RB,PIT,10.936020183480368,-6.461867210029801
91,11,Tank Dell,WR,HOU,11.051232439497744,-6.482431269165952
92,11,Wan'Dale Robinson,WR,NYG,11.036900374884368,-6.726076367593336
93,11,Jayden Daniels,QB,WAS,16.261828331239997,-7.208622449372868
94,11,Jaylen Waddle,WR,MIA,10.996659838360015,-7.410165488507333
95,11,Rachaad White,RB,TB,10.818011260358263,-8.46801890310558
96,11,Jordan Addison,WR,MIN,10.89133319473286,-9.200718430168967
